Star,Planet,RA,Dec,Vmag,Jmag,Spectral Type,Star Rotation Period [d],Planet Radius [R_Earth]
WASP-69,b,315.025966,-5.094857,9.873,8.032,K5,23.07,12.44
WASP-107,b,188.386428,-10.146214,11.592,9.378,K6,17.0,10.54
HIP 65 A,b,0.1856063,-54.830823,11.0,8.922,K4,13.2,22.75
TOI-3884,b,181.571834,12.5070258,15.744,11.127,M4,,6.0
GJ 1214,b,258.831399,4.9606795,15.1,9.75,M4,124.7,2.74
WASP-177,b,334.796989,-1.8344301,12.312,10.654,K2,,17.71
WASP-80,b,303.1668,-2.1444369,11.841,9.218,K7-M0,,11.2
WASP-52,b,348.494793,8.7610793,12.192,10.588,K2,,14.24
TOI-942,b,76.6496172,-20.245613,11.982,10.231,K2.5,3.39,3.89
K2-198,b,198.843682,-6.4649888,10.971,9.741,K,,4.19
L 98-59,d,124.53286,-68.314466,11.685,7.933,M3,78.0,1.58
TOI-2427,b,52.2917315,-31.362867,10.295,7.889,K,,1.8
TOI-1685,b,68.5939529,43.0370395,13.378,9.616,M3.0,18.66,1.7
TOI-836,b,225.079883,-24.454202,9.92,7.58,K,21.99,1.7
TOI-1416,b,216.923489,41.9529862,9.91,8.266,G9,17.6,1.62
HD 3167,b,8.7401487,4.3807215,8.97,7.548,K0,23.52,1.67
TOI-776,b,178.577997,-37.553357,11.536,8.483,M1,34.4,1.85
GJ 9827,b,351.771776,-1.2853435,10.37,7.984,K6,28.9,1.58
TOI-244,b,10.5697537,-36.717974,12.861,8.827,M2.5,53.3,1.52
LTT 1445 A,c,45.4624781,-16.594496,10.59,7.294,M3.0,,1.15
HAT-P-18,b,256.346376,33.0123251,12.597,10.822,K2,,11.15
GJ 3470,b,119.773502,15.391209,12.332,8.794,M1.5,21.54,4.57
HAT-P-12,b,209.388645,43.49331,12.665,10.794,K4,,10.75
TOI-216,b,73.9800129,-63.26033,12.324,10.759,K,,8.0
TOI-942,c,76.6496172,-20.245613,11.982,10.231,K2.5,3.39,4.67
K2-141,c,350.917046,-1.1891827,11.454,9.086,K7,15.17,7.0
GJ 3090,b,20.4384281,-46.714723,11.403,8.168,M2,,2.13
TOI-2076,b,217.392016,39.7903991,9.139,7.613,K,6.84,2.52
HAT-P-26,b,213.156551,4.0594175,11.757,10.08,K1,,7.06
WASP-29,b,357.879198,-39.907122,11.331,9.353,K,,8.63
TOI-2411,b,20.9224567,-8.7017944,11.272,9.33,K,,1.68
K2-141,b,350.917046,-1.1891827,11.454,9.086,K7,15.17,1.51
TOI-1634,b,56.3906096,37.1122803,13.217,9.484,M2,77.0,1.77
HIP 113103,b,343.572379,-43.010229,9.95,8.195,K,9.92,1.83
TOI-540,b,76.3096949,-47.937539,14.823,9.755,M,0.73,0.9
L 98-59,b,124.53286,-68.314466,11.685,7.933,M3,80.9,0.85
TOI-1452,b,290.173974,73.1951082,14.354,10.604,M4.5,,1.67
WASP-132,c,217.6092,-46.159516,11.938,10.257,K4,33.0,1.85
GJ 806,b,311.2697,44.5002351,10.79,7.329,M1.5,41.4,1.33
LTT 1445 A,b,45.4624781,-16.594496,10.59,7.294,M3.0,,1.18
